Image_Link,Species_Name,Common_Name
/afbid/search/browse/species/2415/28,Crithagra striolata (6),Streaky Seedeater
/afbid/search/browse/species/2412/28,Crithagra sulphurata (12),Brimstone Canary
/afbid/search/browse/species/1006/28,Cryptolybia olivacea (2),Green Barbet
/afbid/search/browse/species/2307/28,Cryptospiza salvadorii (1),Abyssinian Crimsonwing
/afbid/search/browse/species/765/28,Cuculus canorus (6),Common Cuckoo
/afbid/search/browse/species/764/28,Cuculus clamosus (1),Black Cuckoo
/afbid/search/browse/species/766/28,Cuculus gularis (1),African Cuckoo
/afbid/search/browse/species/763/28,Cuculus solitarius (1),Red-chested Cuckoo
/afbid/search/browse/species/1584/28,Curruca boehmi (1),Banded Parisoma
/afbid/search/browse/species/1568/28,Curruca communis (2),Common Whitethroat
/afbid/search/browse/species/1563/28,Curruca nisoria (1),Barred Warbler
/afbid/search/browse/species/2596/28,Cursorius somalensis  (4),Somali Courser
/afbid/search/browse/species/490/28,Cursorius temminckii (3),Temminck's Courser
/afbid/search/browse/species/1892/28,Cyanomitra olivacea (2),Olive Sunbird
/afbid/search/browse/species/1894/28,Cyanomitra veroxii (1),Grey Sunbird
/afbid/search/browse/species/1887/28,Cyanomitra verticalis (2),Green-headed Sunbird
/afbid/search/browse/species/164/28,Dendrocygna viduata (4),White-faced Whistling Duck
/afbid/search/browse/species/1076/28,Dendropicos fuscescens (1),Cardinal Woodpecker
/afbid/search/browse/species/1082/28,Dendropicos goertae (4),African Grey Woodpecker
/afbid/search/browse/species/1083/28,Dendropicos spodocephalus (2),Eastern Grey Woodpecker
/afbid/search/browse/species/1358/28,Dessonornis caffra (2),Cape Robin-Chat
/afbid/search/browse/species/2078/28,Dicrurus adsimilis (9),Fork-tailed Drongo
/afbid/search/browse/species/2689/28,Dicrurus sharpei (2),Sharpe's Drongo
/afbid/search/browse/species/2182/28,Dinemellia dinemelli (8),White-headed Buffalo Weaver
/afbid/search/browse/species/1907/28,Drepanorhynchus reichenowi (12),Golden-winged Sunbird
/afbid/search/browse/species/477/28,Dromas ardeola (2),Crab-plover
/afbid/search/browse/species/2023/28,Dryoscopus gambensis (1),Northern Puffback
/afbid/search/browse/species/130/28,Egretta dimorpha (1),Dimorphic Egret
/afbid/search/browse/species/131/28,Egretta garzetta (3),Little Egret
/afbid/search/browse/species/236/28,Elanus caeruleus (8),Black-winged Kite
/afbid/search/browse/species/1757/28,Elminia albonotata (1),White-tailed Crested Flycatcher
/afbid/search/browse/species/1753/28,Elminia longicauda (1),African Blue Flycatcher
/afbid/search/browse/species/1755/28,Elminia nigromitrata (1),Dusky Crested Flycatcher
/afbid/search/browse/species/2455/28,Emberiza flaviventris (1),Golden-breasted Bunting
/afbid/search/browse/species/2456/28,Emberiza poliopleura (3),Somali Bunting
/afbid/search/browse/species/2458/28,Emberiza tahapisi (3),Cinnamon-breasted Bunting
/afbid/search/browse/species/1710/28,Eminia lepida (5),Grey-capped Warbler
/afbid/search/browse/species/1726/28,Empidornis semipartitus (1),Silverbird
/afbid/search/browse/species/147/28,Ephippiorhynchus senegalensis (3),Saddle-billed Stork
/afbid/search/browse/species/1524/28,Eremomela flavicrissalis (2),Yellow-vented Eremomela
/afbid/search/browse/species/1532/28,Eremomela turneri (2),Turner’s Eremomela
/afbid/search/browse/species/1171/28,Eremopterix leucopareia (13),Fischer's Sparrow-Lark
/afbid/search/browse/species/1170/28,Eremopterix signata (5),Chestnut-headed Sparrow-Lark
/afbid/search/browse/species/1751/28,Erythrocercus holochlorus (4),Little Yellow Flycatcher
/afbid/search/browse/species/2317/28,Estrilda astrild (3),Common Waxbill
/afbid/search/browse/species/2675/28,Estrilda kandti (1),Kandt's Waxbill
/afbid/search/browse/species/2368/28,Euodice cantans (1),African Silverbill
/afbid/search/browse/species/2274/28,Euplectes afer (2),Yellow-crowned Bishop
/afbid/search/browse/species/2278/28,Euplectes albonotatus (5),White-winged Widowbird
/afbid/search/browse/species/2281/28,Euplectes axillaris (3),Fan-tailed Widowbird
/afbid/search/browse/species/2277/28,Euplectes capensis (4),Yellow Bishop
/afbid/search/browse/species/2275/28,Euplectes diadematus (1),Fire-fronted Bishop
/afbid/search/browse/species/2273/28,Euplectes gierowii (1),Black Bishop
/afbid/search/browse/species/2285/28,Euplectes jacksoni (6),Jackson's Widowbird
/afbid/search/browse/species/2773/28,Euplectes laticauda (4),Red-cowled Widowbird
/afbid/search/browse/species/2271/28,Euplectes nigroventris (3),Zanzibar Red Bishop
/afbid/search/browse/species/2270/28,Euplectes orix (1),Southern Red Bishop
/afbid/search/browse/species/2284/28,Euplectes progne (3),Long-tailed Widowbird
/afbid/search/browse/species/466/28,Eupodotis senegalensis (11),White-bellied Bustard
